127.0.0.1 - - [03/May/2023:10:23:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2023:10:23:26 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [03/May/2023:10:23:28 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2023:10:24:45 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:11 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:11 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11752
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:12 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:12 +0530] "GET /TechBlog/blog-pics/python2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:12 +0530] "GET /TechBlog/blog-pics/java1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:12 +0530] "GET /TechBlog/blog-pics/db1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:51 +0530] "POST /TechBlog/profile.jsp HTTP/1.1" 200 11752
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:51 +0530] "GET /TechBlog/load-posts.jsp?cid=1 HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:55 +0530] "GET /TechBlog/load-posts.jsp?cid=2 HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [03/May/2023:10:25:58 +0530] "GET /TechBlog/load-posts.jsp?cid=3 HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [03/May/2023:10:26:00 +0530] "GET /TechBlog/load-posts.jsp?cid=4 HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [03/May/2023:10:26:03 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/May/2023:10:26:07 +0530] "GET /TechBlog/show-blog-page.jsp?post_id=3 HTTP/1.1" 200 11260
