127.0.0.1 - - [28/Apr/2023:10:16:46 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:16:49 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:16:51 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:12 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:27 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:27 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11172
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:28 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 9144
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:28 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:28 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:28 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:28 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:28 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:36 +0530] "GET /TechBlog/show-blog-page.jsp?post_id=12 HTTP/1.1" 200 10917
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:17:36 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:06 +0530] "GET /TechBlog/show-blog-page.jsp?post_id=12 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:06 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11172
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 9144
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:29:22 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:14 +0530] "POST /TechBlog/PostServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:14 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11266
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:15 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 9893
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:15 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:15 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:15 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:15 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:35:15 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:37:30 +0530] "POST /TechBlog/profile.jsp HTTP/1.1" 200 11172
0:0:0:0:0:0:0:1 - - [28/Apr/2023:10:37:30 +0530] "GET /TechBlog/load-posts.jsp?cid=4 HTTP/1.1" 200 787
