0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:21 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:28 +0530] "GET /TechBlog/show-blog-page.jsp?post_id=3 HTTP/1.1" 200 11329
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:37 +0530] "POST /TechBlog/LikeServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:37 +0530] "POST /TechBlog/show-blog-page.jsp?post_id=3 HTTP/1.1" 200 11329
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:40 +0530] "POST /TechBlog/LikeServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:45 +0530] "GET /TechBlog/show-blog-page.jsp?post_id=3 HTTP/1.1" 200 11329
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:50 +0530] "POST /TechBlog/show-blog-page.jsp?post_id=3 HTTP/1.1" 200 11329
0:0:0:0:0:0:0:1 - - [25/May/2023:10:59:53 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:10 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11726
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:11 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 4211
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:16 +0530] "POST /TechBlog/LikeServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:23 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11726
0:0:0:0:0:0:0:1 - - [25/May/2023:11:00:24 +0530] "GET /TechBlog/load-posts.jsp?cid=0 HTTP/1.1" 200 4211
