127.0.0.1 - - [27/Apr/2023:10:03:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:03:41 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:03:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:18:04 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:18:53 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:18:59 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:19:36 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:19:41 +0530] "POST /TechBlog/profile.jsp HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:22:37 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:22:39 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:22:43 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:23:00 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:23:00 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:23:26 +0530] "POST /TechBlog/profile.jsp HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [27/Apr/2023:10:24:24 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 11052
