127.0.0.1 - - [03/Mar/2023:10:17:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:17:20 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6447
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:17:20 +0530] "GET /TechBlog/mystyle.css HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:17:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:23:04 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:23:07 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:23:08 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:23:10 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:23:23 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:23:24 +0530] "GET /TechBlog/mystyle.css HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:24:48 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:24:56 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6448
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:26:51 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:27:38 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6609
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:28:24 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6609
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:28:25 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6609
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:28:40 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:31:27 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:31:33 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:32:29 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6618
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:33:13 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6619
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:34:04 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6620
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:35:40 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6612
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:42:12 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:42:19 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 1353
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:49:22 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:51:43 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:51:57 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:54:14 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:54:17 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:54:18 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:54:19 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 2636
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:54:44 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:56:14 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 4261
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:57:47 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 4280
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:57:59 +0530] "GET /TechBlog/login-page.jsp? HTTP/1.1" 200 4280
