127.0.0.1 - - [20/Mar/2023:10:22:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:22:05 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6949
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:22:05 +0530] "GET /TechBlog/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:22:05 +0530] "GET /TechBlog/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:22:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:36:14 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:36:57 +0530] "POST /TechBlog/UserServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:48:51 +0530] "GET /TechBlog/error-page HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:49:12 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [20/Mar/2023:10:50:48 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:01:35 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:01:36 +0530] "GET /TechBlog/images/warning.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:49 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:49 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:50 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:50 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:51 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:51 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:52 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:05:52 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:07 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:07 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:08 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:08 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:21 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:21 +0530] "GET /TechBlog/TechBlog/src/images/warning.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:41 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:41 +0530] "GET /TechBlog/src/images/warning.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:42 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:42 +0530] "GET /TechBlog/src/images/warning.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:56 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:56 +0530] "GET /TechBlog/images/warning.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:57 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:08:57 +0530] "GET /TechBlog/images/warning.png HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:12:40 +0530] "GET /TechBlog/error-page.jsp HTTP/1.1" 200 796
0:0:0:0:0:0:0:1 - - [20/Mar/2023:11:12:40 +0530] "GET /TechBlog/img/warning.png HTTP/1.1" 404 783
