127.0.0.1 - - [29/Mar/2023:11:12:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:13:51 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:13:53 +0530] "GET /TechBlog/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:14:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:14:37 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:15:03 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:15:03 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:15:15 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:15:16 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6206
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:15:35 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:15:35 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [29/Mar/2023:11:22:07 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:17:20 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:17:32 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:17:36 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6325
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:18:52 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:22:51 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 7314
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:27:33 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 7204
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:34:41 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 7411
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:38:56 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 7560
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:41:02 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 7701
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:44:38 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 7838
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:49:34 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 8058
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:50:21 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 8079
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:52:30 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 8119
0:0:0:0:0:0:0:1 - - [29/Mar/2023:12:52:53 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 8119
