127.0.0.1 - - [26/Apr/2023:10:36:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:36:26 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:36:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:37:13 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:37:31 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:37:32 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:37:33 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:49:11 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:49:13 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 2232
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:49:56 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:49:56 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:50:30 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:50:30 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 2274
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:51:39 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:51:40 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:53:19 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:53:19 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:47 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:47 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:48 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:48 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:48 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:48 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:56:48 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:59:59 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:10:59:59 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:12 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:12 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:00:25 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:06:17 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10687
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:25 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/blog-pics/sahil_pic.jpeg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:07:28 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:34 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10827
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:35 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 500 2497
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:49 +0530] "GET /TechBlog/load-posts.jsp?cid=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:49 +0530] "POST /TechBlog/profile.jsp HTTP/1.1" 200 10827
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:49 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:49 +0530] "GET /TechBlog/blog-pics/signature.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:49 +0530] "GET /TechBlog/blog-pics/sahil_sign.jpeg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:49 +0530] "GET /TechBlog/blog-pics/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:58 +0530] "GET /TechBlog/load-posts.jsp?cid=2 HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [26/Apr/2023:11:21:58 +0530] "GET /TechBlog/blog-pics/My%20pic.jpg HTTP/1.1" 404 790
