127.0.0.1 - - [31/Mar/2023:11:36:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:36:22 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:36:23 +0530] "GET /TechBlog/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:36:23 +0530] "GET /TechBlog/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:36:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:57:19 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:57:35 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:57:35 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:57:49 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:57:49 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:59:06 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:59:19 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:11:59:21 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 8604
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:10:11 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:10:11 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:10:14 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5390
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:11:18 +0530] "POST /TechBlog/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:11:18 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:11:52 +0530] "POST /TechBlog/UserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:11:52 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5499
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:12:21 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:12:44 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:12:45 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 8403
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:13:10 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:13:10 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [31/Mar/2023:12:13:13 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6846
