127.0.0.1 - - [24/Mar/2023:11:01:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:01:11 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:01:11 +0530] "GET /TechBlog/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:01:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:01:39 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:02:01 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:02:01 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:03:04 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:03:04 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:40:56 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:40:58 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:41:00 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:41:20 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:41:20 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:44:58 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:44:58 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:45:18 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:45:19 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:45:51 +0530] "POST /TechBlog/EditServlet HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:47:36 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:47:36 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:47:48 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:47:48 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 6201
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:47:57 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:47:57 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:48:04 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:48:14 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5377
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:48:18 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:52:29 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
